 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 04:57:35
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7363f5e2da30
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 04:57:35,877: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 04:57:35,880: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 04:57:36,895: INFO/MainProcess] mingle: all alone
[2026-04-26 04:57:36,912: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 04:57:36,914: INFO/MainProcess] Task cpu_intensive[49b5ff3c-7801-4dd0-ae24-8693aac8525a] received
[2026-04-26 04:57:36,914: INFO/MainProcess] Task cpu_intensive[983b94b7-eb55-405f-9ace-5cf763d2ef80] received
[2026-04-26 04:57:36,914: INFO/MainProcess] Task memory_intensive[ecb96385-f907-487f-b65a-edefd0fe0b3d] received
[2026-04-26 04:57:36,915: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 04:57:36,938: INFO/MainProcess] Task cpu_intensive[5c34566a-e12f-42a3-be1a-3a8302b518d5] received
[2026-04-26 04:57:36,938: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 04:57:38,666: INFO/ForkPoolWorker-2] Task cpu_intensive[49b5ff3c-7801-4dd0-ae24-8693aac8525a] succeeded in 1.601773990001675s: 333333283333335000000
[2026-04-26 04:57:38,672: INFO/ForkPoolWorker-1] Task cpu_intensive[5c34566a-e12f-42a3-be1a-3a8302b518d5] succeeded in 1.6045607529995323s: 333333283333335000000
[2026-04-26 04:57:38,674: INFO/ForkPoolWorker-3] Task cpu_intensive[983b94b7-eb55-405f-9ace-5cf763d2ef80] succeeded in 1.6096319179996499s: 333333283333335000000
