 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 17:36:29
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7ca341b3d820
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 17:36:29,588: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 17:36:29,593: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 17:36:30,609: INFO/MainProcess] mingle: all alone
[2026-04-26 17:36:30,626: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 17:36:30,627: INFO/MainProcess] Task cpu_intensive[41399e5b-76a7-4baa-b97d-9c7fc1734adb] received
[2026-04-26 17:36:30,628: INFO/MainProcess] Task cpu_intensive[cdbb6475-9bfb-4475-9ee5-b1e8452b7c3a] received
[2026-04-26 17:36:30,628: INFO/MainProcess] Task memory_intensive[8813153d-eee3-445b-ab63-2d33599785cf] received
[2026-04-26 17:36:30,628: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 17:36:30,652: INFO/MainProcess] Task cpu_intensive[1784ce93-bce1-4884-8227-9fe70d178c38] received
[2026-04-26 17:36:30,652: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 17:36:32,369: INFO/ForkPoolWorker-1] Task cpu_intensive[1784ce93-bce1-4884-8227-9fe70d178c38] succeeded in 1.5842032770015066s: 333333283333335000000
[2026-04-26 17:36:32,371: INFO/ForkPoolWorker-2] Task cpu_intensive[41399e5b-76a7-4baa-b97d-9c7fc1734adb] succeeded in 1.5922499360021902s: 333333283333335000000
[2026-04-26 17:36:32,383: INFO/ForkPoolWorker-3] Task cpu_intensive[cdbb6475-9bfb-4475-9ee5-b1e8452b7c3a] succeeded in 1.604370941997331s: 333333283333335000000
