 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 10:03:15
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7654c4531b80
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 10:03:15,261: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 10:03:15,264: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 10:03:16,281: INFO/MainProcess] mingle: all alone
[2026-04-26 10:03:16,299: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 10:03:16,300: INFO/MainProcess] Task cpu_intensive[4301d73a-33ef-4456-8aca-da5a1cb658eb] received
[2026-04-26 10:03:16,301: INFO/MainProcess] Task cpu_intensive[5095c669-6fe9-4d63-888e-0cfab6d2006a] received
[2026-04-26 10:03:16,301: INFO/MainProcess] Task memory_intensive[74777413-f44a-45cc-97cb-9e9f3fa2801c] received
[2026-04-26 10:03:16,301: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 10:03:16,325: INFO/MainProcess] Task cpu_intensive[1bd52baa-6040-46aa-9633-5b76bbe69fa8] received
[2026-04-26 10:03:16,325: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 10:03:18,055: INFO/ForkPoolWorker-3] Task cpu_intensive[5095c669-6fe9-4d63-888e-0cfab6d2006a] succeeded in 1.6034609589987667s: 333333283333335000000
[2026-04-26 10:03:18,081: INFO/ForkPoolWorker-1] Task cpu_intensive[1bd52baa-6040-46aa-9633-5b76bbe69fa8] succeeded in 1.6233703879988752s: 333333283333335000000
[2026-04-26 10:03:18,083: INFO/ForkPoolWorker-2] Task cpu_intensive[4301d73a-33ef-4456-8aca-da5a1cb658eb] succeeded in 1.6314372150009149s: 333333283333335000000
