 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 14:03:26
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7f60f7d317c0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 14:03:26,842: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 14:03:26,846: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 14:03:27,862: INFO/MainProcess] mingle: all alone
[2026-04-26 14:03:27,875: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 14:03:27,875: INFO/MainProcess] Task cpu_intensive[43d4d3b2-79f7-4de2-b0aa-9a9153c57d82] received
[2026-04-26 14:03:27,876: INFO/MainProcess] Task cpu_intensive[ccc6474a-065c-4e31-8c31-3dbe88097b95] received
[2026-04-26 14:03:27,876: INFO/MainProcess] Task memory_intensive[d5ef963b-8e83-4014-a70c-5fa859977a1d] received
[2026-04-26 14:03:27,876: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 14:03:27,904: INFO/MainProcess] Task cpu_intensive[a4352d58-826a-4070-b285-815cd3d6f9b3] received
[2026-04-26 14:03:27,904: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 14:03:29,616: INFO/ForkPoolWorker-1] Task cpu_intensive[a4352d58-826a-4070-b285-815cd3d6f9b3] succeeded in 1.5819255520036677s: 333333283333335000000
[2026-04-26 14:03:29,625: INFO/ForkPoolWorker-2] Task cpu_intensive[43d4d3b2-79f7-4de2-b0aa-9a9153c57d82] succeeded in 1.5933254429983208s: 333333283333335000000
[2026-04-26 14:03:29,647: INFO/ForkPoolWorker-3] Task cpu_intensive[ccc6474a-065c-4e31-8c31-3dbe88097b95] succeeded in 1.6158239400028833s: 333333283333335000000
