 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 15:19:49
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7bb5fd51ae10
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 15:19:49,318: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 15:19:49,321: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 15:19:50,337: INFO/MainProcess] mingle: all alone
[2026-04-26 15:19:50,355: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 15:19:50,356: INFO/MainProcess] Task cpu_intensive[45ce8044-0937-4058-9aed-40f6199bc28a] received
[2026-04-26 15:19:50,356: INFO/MainProcess] Task cpu_intensive[5d876697-4fba-4cbe-9da2-fb9038fcaa9e] received
[2026-04-26 15:19:50,357: INFO/MainProcess] Task memory_intensive[f0b02bf1-9b53-4ee0-bfb7-44eca1776e24] received
[2026-04-26 15:19:50,357: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 15:19:50,381: INFO/MainProcess] Task cpu_intensive[2802ec15-6e7b-4339-ae12-e76e721c7b4a] received
[2026-04-26 15:19:50,381: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 15:19:52,094: INFO/ForkPoolWorker-2] Task cpu_intensive[45ce8044-0937-4058-9aed-40f6199bc28a] succeeded in 1.5864403730010963s: 333333283333335000000
[2026-04-26 15:19:52,107: INFO/ForkPoolWorker-1] Task cpu_intensive[2802ec15-6e7b-4339-ae12-e76e721c7b4a] succeeded in 1.5968595560043468s: 333333283333335000000
[2026-04-26 15:19:52,123: INFO/ForkPoolWorker-3] Task cpu_intensive[5d876697-4fba-4cbe-9da2-fb9038fcaa9e] succeeded in 1.615765411996108s: 333333283333335000000
