 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 06:08:37
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x74aa4e09ec90
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 06:08:37,396: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 06:08:37,398: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 06:08:38,415: INFO/MainProcess] mingle: all alone
[2026-04-26 06:08:38,432: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 06:08:38,433: INFO/MainProcess] Task cpu_intensive[ca389bc2-de08-4ba3-903a-998ef40aabff] received
[2026-04-26 06:08:38,433: INFO/MainProcess] Task cpu_intensive[3665493b-ee1e-464d-9e4b-c65e6402fd5e] received
[2026-04-26 06:08:38,433: INFO/MainProcess] Task memory_intensive[a9a335e6-705c-4288-b60f-1c429093bbcb] received
[2026-04-26 06:08:38,433: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:08:38,457: INFO/MainProcess] Task cpu_intensive[1167e697-0c91-44fc-ac08-810fc877d229] received
[2026-04-26 06:08:38,458: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:08:40,173: INFO/ForkPoolWorker-2] Task cpu_intensive[ca389bc2-de08-4ba3-903a-998ef40aabff] succeeded in 1.589185967000958s: 333333283333335000000
[2026-04-26 06:08:40,175: INFO/ForkPoolWorker-1] Task cpu_intensive[1167e697-0c91-44fc-ac08-810fc877d229] succeeded in 1.5880540809994272s: 333333283333335000000
[2026-04-26 06:08:40,190: INFO/ForkPoolWorker-3] Task cpu_intensive[3665493b-ee1e-464d-9e4b-c65e6402fd5e] succeeded in 1.606644598999992s: 333333283333335000000
