 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 22:31:16
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7d0714731a00
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 22:31:16,057: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 22:31:16,061: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 22:31:17,077: INFO/MainProcess] mingle: all alone
[2026-04-26 22:31:17,093: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 22:31:17,094: INFO/MainProcess] Task cpu_intensive[dbd6b822-7b27-486b-8920-526a8eb344cb] received
[2026-04-26 22:31:17,094: INFO/MainProcess] Task cpu_intensive[35b1c37a-7b9b-4e0b-96d8-469786b76d15] received
[2026-04-26 22:31:17,094: INFO/MainProcess] Task memory_intensive[ca1c6132-4324-4697-b72b-ed0d6f89bd1b] received
[2026-04-26 22:31:17,094: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 22:31:17,118: INFO/MainProcess] Task cpu_intensive[eb3b381c-d545-49a6-88e5-722c9518cf75] received
[2026-04-26 22:31:17,119: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 22:31:18,851: INFO/ForkPoolWorker-2] Task cpu_intensive[dbd6b822-7b27-486b-8920-526a8eb344cb] succeeded in 1.6069160799961537s: 333333283333335000000
[2026-04-26 22:31:18,851: INFO/ForkPoolWorker-3] Task cpu_intensive[35b1c37a-7b9b-4e0b-96d8-469786b76d15] succeeded in 1.607133638986852s: 333333283333335000000
[2026-04-26 22:31:18,851: INFO/ForkPoolWorker-1] Task cpu_intensive[eb3b381c-d545-49a6-88e5-722c9518cf75] succeeded in 1.6034689230000367s: 333333283333335000000
