 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 10:19:37
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7fadc2d2d6d0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 10:19:37,353: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 10:19:37,356: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 10:19:38,373: INFO/MainProcess] mingle: all alone
[2026-04-26 10:19:38,390: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 10:19:38,391: INFO/MainProcess] Task cpu_intensive[615dc19c-4daf-4924-a5fb-2b7717fc1a5c] received
[2026-04-26 10:19:38,391: INFO/MainProcess] Task cpu_intensive[cd71aaac-83e2-45fb-b6b8-da831b2bbf17] received
[2026-04-26 10:19:38,391: INFO/MainProcess] Task memory_intensive[e2ed1adb-7fd2-4d78-b013-ea0fc902338b] received
[2026-04-26 10:19:38,391: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 10:19:38,415: INFO/MainProcess] Task cpu_intensive[9245a9ab-4432-4114-aa67-68194d45f585] received
[2026-04-26 10:19:38,415: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 10:19:40,133: INFO/ForkPoolWorker-3] Task cpu_intensive[cd71aaac-83e2-45fb-b6b8-da831b2bbf17] succeeded in 1.5886178500004462s: 333333283333335000000
[2026-04-26 10:19:40,150: INFO/ForkPoolWorker-1] Task cpu_intensive[9245a9ab-4432-4114-aa67-68194d45f585] succeeded in 1.6058895270034554s: 333333283333335000000
[2026-04-26 10:19:40,176: INFO/ForkPoolWorker-2] Task cpu_intensive[615dc19c-4daf-4924-a5fb-2b7717fc1a5c] succeeded in 1.6350091560016153s: 333333283333335000000
