 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 06:14:04
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7a2eb2712090
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 06:14:04,141: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 06:14:04,145: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 06:14:05,160: INFO/MainProcess] mingle: all alone
[2026-04-26 06:14:05,175: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 06:14:05,176: INFO/MainProcess] Task cpu_intensive[59fddb7f-95d2-4467-b0a1-62ab9314d663] received
[2026-04-26 06:14:05,177: INFO/MainProcess] Task cpu_intensive[627d4d72-26d6-4e81-b50b-0464c26d662e] received
[2026-04-26 06:14:05,177: INFO/MainProcess] Task memory_intensive[b2b7418f-ba7a-469a-b213-1e3783f798a2] received
[2026-04-26 06:14:05,177: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:14:05,201: INFO/MainProcess] Task cpu_intensive[c873f709-5d16-445b-9d82-aea34a6c95f4] received
[2026-04-26 06:14:05,201: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:14:06,910: INFO/ForkPoolWorker-1] Task cpu_intensive[c873f709-5d16-445b-9d82-aea34a6c95f4] succeeded in 1.5795489599986468s: 333333283333335000000
[2026-04-26 06:14:06,912: INFO/ForkPoolWorker-3] Task cpu_intensive[627d4d72-26d6-4e81-b50b-0464c26d662e] succeeded in 1.5852099809999345s: 333333283333335000000
[2026-04-26 06:14:06,914: INFO/ForkPoolWorker-2] Task cpu_intensive[59fddb7f-95d2-4467-b0a1-62ab9314d663] succeeded in 1.5865453749975131s: 333333283333335000000
