 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 01:24:32
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7aab33b1ec90
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 01:24:32,610: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 01:24:32,614: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 01:24:33,631: INFO/MainProcess] mingle: all alone
[2026-04-26 01:24:33,650: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 01:24:33,651: INFO/MainProcess] Task cpu_intensive[68b8b116-745b-4b39-9ee0-2e34c9aadf5d] received
[2026-04-26 01:24:33,651: INFO/MainProcess] Task cpu_intensive[21604354-a905-45a3-81cb-b870fd479721] received
[2026-04-26 01:24:33,652: INFO/MainProcess] Task memory_intensive[30e5a488-6122-4366-bfc7-898059687208] received
[2026-04-26 01:24:33,652: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:24:33,675: INFO/MainProcess] Task cpu_intensive[13819c71-4fea-407a-baa5-b449aabc8246] received
[2026-04-26 01:24:33,676: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:24:35,389: INFO/ForkPoolWorker-1] Task cpu_intensive[13819c71-4fea-407a-baa5-b449aabc8246] succeeded in 1.5846833310006332s: 333333283333335000000
[2026-04-26 01:24:35,397: INFO/ForkPoolWorker-2] Task cpu_intensive[68b8b116-745b-4b39-9ee0-2e34c9aadf5d] succeeded in 1.5954391739996936s: 333333283333335000000
[2026-04-26 01:24:35,403: INFO/ForkPoolWorker-3] Task cpu_intensive[21604354-a905-45a3-81cb-b870fd479721] succeeded in 1.6008423090006545s: 333333283333335000000
