 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 15:03:29
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7d5840845b50
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 15:03:29,077: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 15:03:29,080: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 15:03:30,098: INFO/MainProcess] mingle: all alone
[2026-04-26 15:03:30,115: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 15:03:30,116: INFO/MainProcess] Task cpu_intensive[e0eded66-38e9-43d5-b657-a29e33398a5b] received
[2026-04-26 15:03:30,116: INFO/MainProcess] Task cpu_intensive[f81665f8-4e63-4d10-b270-8ebd7dbe95ec] received
[2026-04-26 15:03:30,116: INFO/MainProcess] Task memory_intensive[7e77365c-8377-4fa2-82b5-d1f237e00820] received
[2026-04-26 15:03:30,116: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 15:03:30,140: INFO/MainProcess] Task cpu_intensive[8bc4eb61-a647-4607-99b9-d962d60f9182] received
[2026-04-26 15:03:30,140: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 15:03:31,850: INFO/ForkPoolWorker-3] Task cpu_intensive[f81665f8-4e63-4d10-b270-8ebd7dbe95ec] succeeded in 1.5837631920003332s: 333333283333335000000
[2026-04-26 15:03:31,877: INFO/ForkPoolWorker-1] Task cpu_intensive[8bc4eb61-a647-4607-99b9-d962d60f9182] succeeded in 1.604821192995587s: 333333283333335000000
[2026-04-26 15:03:31,890: INFO/ForkPoolWorker-2] Task cpu_intensive[e0eded66-38e9-43d5-b657-a29e33398a5b] succeeded in 1.622978432002128s: 333333283333335000000
