 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 15:36:10
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x732c78331a90
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 15:36:10,964: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 15:36:10,967: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 15:36:11,983: INFO/MainProcess] mingle: all alone
[2026-04-26 15:36:12,002: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 15:36:12,002: INFO/MainProcess] Task cpu_intensive[f90edd9f-43b6-46a2-861c-b914f397ec9f] received
[2026-04-26 15:36:12,003: INFO/MainProcess] Task cpu_intensive[f12d67ca-1d88-4a26-87b7-62041f99d4fa] received
[2026-04-26 15:36:12,003: INFO/MainProcess] Task memory_intensive[048aedd1-f3d3-472a-b980-497f6285f248] received
[2026-04-26 15:36:12,003: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 15:36:12,027: INFO/MainProcess] Task cpu_intensive[5759ef69-7ff7-47f9-a9de-add558b3ae3b] received
[2026-04-26 15:36:12,027: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 15:36:13,740: INFO/ForkPoolWorker-3] Task cpu_intensive[f12d67ca-1d88-4a26-87b7-62041f99d4fa] succeeded in 1.5867061000026297s: 333333283333335000000
[2026-04-26 15:36:13,766: INFO/ForkPoolWorker-1] Task cpu_intensive[5759ef69-7ff7-47f9-a9de-add558b3ae3b] succeeded in 1.6069154560027528s: 333333283333335000000
[2026-04-26 15:36:13,777: INFO/ForkPoolWorker-2] Task cpu_intensive[f90edd9f-43b6-46a2-861c-b914f397ec9f] succeeded in 1.6241515599976992s: 333333283333335000000
