 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 09:14:14
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7aa0b6739820
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 09:14:14,078: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 09:14:14,081: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 09:14:15,101: INFO/MainProcess] mingle: all alone
[2026-04-26 09:14:15,118: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 09:14:15,119: INFO/MainProcess] Task cpu_intensive[486e69f8-2d9b-452c-9258-a123aca28f8f] received
[2026-04-26 09:14:15,120: INFO/MainProcess] Task cpu_intensive[a8bed5dc-3242-4108-a8bf-9e4b9468503c] received
[2026-04-26 09:14:15,120: INFO/MainProcess] Task memory_intensive[2d7c500a-0512-47aa-904e-366b85302996] received
[2026-04-26 09:14:15,120: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:14:15,143: INFO/MainProcess] Task cpu_intensive[0da1eb0e-9079-41d9-8846-78c18a94a5e3] received
[2026-04-26 09:14:15,144: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:14:16,855: INFO/ForkPoolWorker-3] Task cpu_intensive[a8bed5dc-3242-4108-a8bf-9e4b9468503c] succeeded in 1.5851100019935984s: 333333283333335000000
[2026-04-26 09:14:16,857: INFO/ForkPoolWorker-1] Task cpu_intensive[0da1eb0e-9079-41d9-8846-78c18a94a5e3] succeeded in 1.5841873620011029s: 333333283333335000000
[2026-04-26 09:14:16,873: INFO/ForkPoolWorker-2] Task cpu_intensive[486e69f8-2d9b-452c-9258-a123aca28f8f] succeeded in 1.6028636479968554s: 333333283333335000000
