 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 01:35:27
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x71ed08e2d850
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 01:35:27,592: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 01:35:27,596: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 01:35:28,611: INFO/MainProcess] mingle: all alone
[2026-04-26 01:35:28,627: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 01:35:28,628: INFO/MainProcess] Task cpu_intensive[5e94391c-baac-49f5-b6c3-184dde748ef0] received
[2026-04-26 01:35:28,628: INFO/MainProcess] Task cpu_intensive[2bc6d8e8-cbbf-446c-9b15-0754978a7224] received
[2026-04-26 01:35:28,628: INFO/MainProcess] Task memory_intensive[bbb9c690-85f8-40da-ae7a-133795c4bdcc] received
[2026-04-26 01:35:28,629: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:35:28,652: INFO/MainProcess] Task cpu_intensive[af22e23a-ab56-4eca-a211-ae788a1cdcbe] received
[2026-04-26 01:35:28,652: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:35:30,383: INFO/ForkPoolWorker-1] Task cpu_intensive[af22e23a-ab56-4eca-a211-ae788a1cdcbe] succeeded in 1.6020902329992168s: 333333283333335000000
[2026-04-26 01:35:30,386: INFO/ForkPoolWorker-3] Task cpu_intensive[2bc6d8e8-cbbf-446c-9b15-0754978a7224] succeeded in 1.608312322000529s: 333333283333335000000
[2026-04-26 01:35:30,387: INFO/ForkPoolWorker-2] Task cpu_intensive[5e94391c-baac-49f5-b6c3-184dde748ef0] succeeded in 1.6093482770002083s: 333333283333335000000
