 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 20:47:33
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7a2b7da31c70
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 20:47:33,538: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 20:47:33,541: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 20:47:34,560: INFO/MainProcess] mingle: all alone
[2026-04-26 20:47:34,577: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 20:47:34,578: INFO/MainProcess] Task cpu_intensive[ba69db2e-c60c-4120-bff8-34ab27e4917c] received
[2026-04-26 20:47:34,579: INFO/MainProcess] Task cpu_intensive[cb6af3e3-c818-423a-b849-850ecefbdd32] received
[2026-04-26 20:47:34,579: INFO/MainProcess] Task memory_intensive[8a0440db-c342-4530-8675-a7af71f95a99] received
[2026-04-26 20:47:34,579: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:47:34,603: INFO/MainProcess] Task cpu_intensive[07eb16eb-89d2-4efa-858e-b39df16e247a] received
[2026-04-26 20:47:34,603: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:47:36,331: INFO/ForkPoolWorker-3] Task cpu_intensive[cb6af3e3-c818-423a-b849-850ecefbdd32] succeeded in 1.6019606369955s: 333333283333335000000
[2026-04-26 20:47:36,333: INFO/ForkPoolWorker-2] Task cpu_intensive[ba69db2e-c60c-4120-bff8-34ab27e4917c] succeeded in 1.6036846850038273s: 333333283333335000000
[2026-04-26 20:47:36,340: INFO/ForkPoolWorker-1] Task cpu_intensive[07eb16eb-89d2-4efa-858e-b39df16e247a] succeeded in 1.6073466969974106s: 333333283333335000000
