 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 06:52:18
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x77d20ae2d880
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 06:52:18,064: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 06:52:18,067: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 06:52:19,083: INFO/MainProcess] mingle: all alone
[2026-04-26 06:52:19,096: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 06:52:19,097: INFO/MainProcess] Task cpu_intensive[8df3809b-fd3c-4b9a-b501-75b894749a13] received
[2026-04-26 06:52:19,097: INFO/MainProcess] Task cpu_intensive[b8104d02-16b4-461a-9305-dd719b914256] received
[2026-04-26 06:52:19,097: INFO/MainProcess] Task memory_intensive[80f3b499-6558-4c5f-aedf-f362da3e6969] received
[2026-04-26 06:52:19,098: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:52:19,121: INFO/MainProcess] Task cpu_intensive[dd2ada1d-293f-4cae-b90b-5d54e9f77453] received
[2026-04-26 06:52:19,121: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:52:20,834: INFO/ForkPoolWorker-1] Task cpu_intensive[dd2ada1d-293f-4cae-b90b-5d54e9f77453] succeeded in 1.5834451769987936s: 333333283333335000000
[2026-04-26 06:52:20,835: INFO/ForkPoolWorker-2] Task cpu_intensive[8df3809b-fd3c-4b9a-b501-75b894749a13] succeeded in 1.5878926410005079s: 333333283333335000000
[2026-04-26 06:52:20,874: INFO/ForkPoolWorker-3] Task cpu_intensive[b8104d02-16b4-461a-9305-dd719b914256] succeeded in 1.6265870189999987s: 333333283333335000000
