 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 20:25:43
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x78f7051318e0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 20:25:44,024: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 20:25:44,028: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 20:25:45,044: INFO/MainProcess] mingle: all alone
[2026-04-26 20:25:45,060: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 20:25:45,061: INFO/MainProcess] Task cpu_intensive[aa91fbff-2df1-4687-a68f-b9e821115611] received
[2026-04-26 20:25:45,062: INFO/MainProcess] Task cpu_intensive[fff02cde-7110-41f1-9664-ba7d3a96142b] received
[2026-04-26 20:25:45,062: INFO/MainProcess] Task memory_intensive[01ded13f-d5c6-474a-b341-b0b41acbdb5e] received
[2026-04-26 20:25:45,062: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:25:45,086: INFO/MainProcess] Task cpu_intensive[2249f628-5ee6-404c-b8af-acbaa3cf8c42] received
[2026-04-26 20:25:45,086: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:25:46,826: INFO/ForkPoolWorker-1] Task cpu_intensive[2249f628-5ee6-404c-b8af-acbaa3cf8c42] succeeded in 1.6107751370000187s: 333333283333335000000
[2026-04-26 20:25:46,827: INFO/ForkPoolWorker-3] Task cpu_intensive[fff02cde-7110-41f1-9664-ba7d3a96142b] succeeded in 1.6111069420003332s: 333333283333335000000
[2026-04-26 20:25:46,854: INFO/ForkPoolWorker-2] Task cpu_intensive[aa91fbff-2df1-4687-a68f-b9e821115611] succeeded in 1.641237601012108s: 333333283333335000000
