 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 11:25:07
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7630b9019670
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 11:25:07,861: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 11:25:07,865: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 11:25:08,884: INFO/MainProcess] mingle: all alone
[2026-04-26 11:25:08,903: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 11:25:08,904: INFO/MainProcess] Task cpu_intensive[447b8491-d520-44f7-a619-70b09c413d19] received
[2026-04-26 11:25:08,904: INFO/MainProcess] Task cpu_intensive[70abf2e0-f771-4c30-8a04-355ba8a1242e] received
[2026-04-26 11:25:08,904: INFO/MainProcess] Task memory_intensive[ec8483b2-cd66-4373-a979-02d2d258d51f] received
[2026-04-26 11:25:08,904: INFO/MainProcess] Task cpu_intensive[6900be61-e623-4b78-aa68-3c568009c6a2] received
[2026-04-26 11:25:08,905: INFO/MainProcess] Task cpu_intensive[34279399-d329-477c-b497-bd7a980ae1ea] received
[2026-04-26 11:25:08,905: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 11:25:08,928: INFO/MainProcess] Task memory_intensive[46591706-0250-40de-a94c-932f2499fb70] received
[2026-04-26 11:25:08,928: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 11:25:08,953: INFO/MainProcess] Task cpu_intensive[b2920009-3851-43fe-9cca-eccae30fe1ef] received
[2026-04-26 11:25:08,953: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 11:25:08,977: INFO/MainProcess] Task cpu_intensive[46bcc917-f223-469b-9ee1-a932e466cd49] received
[2026-04-26 11:25:08,978: INFO/MainProcess] Scaling up 1 processes.
