 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 20:14:50
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7b80e2045bb0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 20:14:50,328: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 20:14:50,331: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 20:14:51,350: INFO/MainProcess] mingle: all alone
[2026-04-26 20:14:51,367: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 20:14:51,368: INFO/MainProcess] Task cpu_intensive[18fa6864-f14b-4e74-bfed-28b521f5ad7d] received
[2026-04-26 20:14:51,369: INFO/MainProcess] Task cpu_intensive[70267c19-73f5-4cad-8975-724aaa6c7d75] received
[2026-04-26 20:14:51,369: INFO/MainProcess] Task memory_intensive[c764578c-acc2-4cf2-9b67-364a0a4803ba] received
[2026-04-26 20:14:51,369: INFO/MainProcess] Task cpu_intensive[b3a3985e-b109-43c3-a7bb-8a24d6cb6006] received
[2026-04-26 20:14:51,369: INFO/MainProcess] Task cpu_intensive[c0217eff-a91a-47cf-bb41-a24f67e26545] received
[2026-04-26 20:14:51,369: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:14:51,393: INFO/MainProcess] Task memory_intensive[b4d7cee8-08ac-48bb-b78a-2930fc728d82] received
[2026-04-26 20:14:51,393: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:14:51,417: INFO/MainProcess] Task cpu_intensive[2be41e56-bf64-4fcc-a054-da4f25893e35] received
[2026-04-26 20:14:51,418: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:14:51,442: INFO/MainProcess] Task cpu_intensive[aad89274-3d89-400b-9884-9e4c4f31223f] received
