 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 13:19:46
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x71f177131a90
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 13:19:46,850: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 13:19:46,854: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 13:19:47,874: INFO/MainProcess] mingle: all alone
[2026-04-26 13:19:47,892: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 13:19:47,892: INFO/MainProcess] Task cpu_intensive[3f816b69-6e06-4b0a-bb1a-62933bb953f8] received
[2026-04-26 13:19:47,893: INFO/MainProcess] Task cpu_intensive[7b6db376-5e83-47fd-9846-1776432dee0f] received
[2026-04-26 13:19:47,893: INFO/MainProcess] Task memory_intensive[e9cdd734-2804-4f31-8917-c9d13a79a96a] received
[2026-04-26 13:19:47,893: INFO/MainProcess] Task cpu_intensive[57c4b3a6-8a5f-408f-bd7d-fa2ac6de3636] received
[2026-04-26 13:19:47,894: INFO/MainProcess] Task cpu_intensive[f7df3c77-63f6-4e89-87f6-36da9eb1bc4d] received
[2026-04-26 13:19:47,894: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 13:19:47,917: INFO/MainProcess] Task memory_intensive[0881b79d-5e73-49f1-9f80-67e2cbaea315] received
[2026-04-26 13:19:47,917: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 13:19:47,942: INFO/MainProcess] Task cpu_intensive[425131e6-b35e-43a8-ae43-1245b41fc610] received
[2026-04-26 13:19:47,942: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 13:19:47,966: INFO/MainProcess] Task cpu_intensive[c694802d-6756-4203-8f8e-93af3ec212f9] received
