 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 08:03:17
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7d1dfb541b80
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 08:03:17,649: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 08:03:17,652: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 08:03:18,668: INFO/MainProcess] mingle: all alone
[2026-04-26 08:03:18,687: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 08:03:18,687: INFO/MainProcess] Task cpu_intensive[ea52b6f4-053c-44b1-bc33-d7396d5bd611] received
[2026-04-26 08:03:18,688: INFO/MainProcess] Task cpu_intensive[3f4158e0-3e7a-4531-8171-d3e1a912a9f3] received
[2026-04-26 08:03:18,688: INFO/MainProcess] Task memory_intensive[59fa5241-0857-4ced-a1b3-a2f7412475bd] received
[2026-04-26 08:03:18,688: INFO/MainProcess] Task cpu_intensive[61fe9ec1-a12b-4095-99de-246bc8e7024d] received
[2026-04-26 08:03:18,689: INFO/MainProcess] Task cpu_intensive[24f8f545-256b-4ad8-889e-413aa3608e69] received
[2026-04-26 08:03:18,689: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 08:03:18,712: INFO/MainProcess] Task memory_intensive[c5ddf5e0-0a00-42c4-a9f8-7b7ef8f23d25] received
[2026-04-26 08:03:18,712: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 08:03:18,736: INFO/MainProcess] Task cpu_intensive[5b384d07-a29a-4236-b03f-0688cba7efc3] received
[2026-04-26 08:03:18,737: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 08:03:18,761: INFO/MainProcess] Task cpu_intensive[3e7052e5-510d-43d2-9c87-4ea2ad76fd7e] received
