 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 20:42:06
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x74a7c0c35b80
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 20:42:06,721: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 20:42:06,725: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 20:42:07,745: INFO/MainProcess] mingle: all alone
[2026-04-26 20:42:07,761: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 20:42:07,762: INFO/MainProcess] Task cpu_intensive[22ea832b-75e8-43cd-b2d0-702c4fa08627] received
[2026-04-26 20:42:07,763: INFO/MainProcess] Task cpu_intensive[bc93c9f6-d39a-4506-b136-babfd3c1ec60] received
[2026-04-26 20:42:07,763: INFO/MainProcess] Task memory_intensive[2c0c9c08-d2f8-4b74-a3c3-27d8d6d869a9] received
[2026-04-26 20:42:07,763: INFO/MainProcess] Task cpu_intensive[2b18d273-86cf-4f7b-a2e1-f306165ceb79] received
[2026-04-26 20:42:07,763: INFO/MainProcess] Task cpu_intensive[913a0f6b-f2a8-4a4c-b6e5-e8a7bc191115] received
[2026-04-26 20:42:07,763: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:42:07,787: INFO/MainProcess] Task memory_intensive[ca899d67-a4bd-4979-81d9-593b457d65ea] received
[2026-04-26 20:42:07,787: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:42:07,812: INFO/MainProcess] Task cpu_intensive[e9652d3e-3264-4585-9fdb-4b5001699f1d] received
[2026-04-26 20:42:07,812: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:42:07,836: INFO/MainProcess] Task cpu_intensive[96096464-a7f2-41d7-a3fa-88e69dc060d1] received
