 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 05:41:18
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x78e99113d730
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 05:41:19,089: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 05:41:19,094: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 05:41:20,111: INFO/MainProcess] mingle: all alone
[2026-04-26 05:41:20,126: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 05:41:20,127: INFO/MainProcess] Task cpu_intensive[9050f1bc-8fef-4d57-8c15-34dbb9dfbc6b] received
[2026-04-26 05:41:20,127: INFO/MainProcess] Task cpu_intensive[99409bcf-8caf-42e8-9147-bdcebe40d575] received
[2026-04-26 05:41:20,128: INFO/MainProcess] Task memory_intensive[58a18fc2-929b-4d1a-b75a-e9b6515e8c0f] received
[2026-04-26 05:41:20,128: INFO/MainProcess] Task cpu_intensive[4c18532a-0dcd-4131-901e-a5fdd2ad2d7a] received
[2026-04-26 05:41:20,128: INFO/MainProcess] Task cpu_intensive[296f03ab-5bd6-4fb6-8b12-b14009a6c290] received
[2026-04-26 05:41:20,128: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 05:41:20,152: INFO/MainProcess] Task memory_intensive[738f12d1-e734-4de4-8bfb-e38fce169b75] received
[2026-04-26 05:41:20,152: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 05:41:20,177: INFO/MainProcess] Task cpu_intensive[9f1916ee-e877-4625-9e5c-15c3d7d8aa0b] received
[2026-04-26 05:41:20,177: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 05:41:20,201: INFO/MainProcess] Task cpu_intensive[fc760986-d068-48e5-94e0-593fc35ccd81] received
