 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 09:57:48
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7dd4a3339a90
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 09:57:48,441: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 09:57:48,444: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 09:57:49,462: INFO/MainProcess] mingle: all alone
[2026-04-26 09:57:49,479: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 09:57:49,480: INFO/MainProcess] Task cpu_intensive[5d4b1003-d050-4d2f-8c1c-dfb50f74a914] received
[2026-04-26 09:57:49,481: INFO/MainProcess] Task cpu_intensive[7d68ca71-4c7d-4fd7-8238-6fa03bf48ffa] received
[2026-04-26 09:57:49,481: INFO/MainProcess] Task memory_intensive[70107aa5-dc52-4dfc-8154-fc690ff423d3] received
[2026-04-26 09:57:49,481: INFO/MainProcess] Task cpu_intensive[1cf8932f-eeb3-4646-90c1-2fa79d901917] received
[2026-04-26 09:57:49,482: INFO/MainProcess] Task cpu_intensive[6c482ddc-c300-4db1-9cb5-2eda4b39b879] received
[2026-04-26 09:57:49,482: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:57:49,505: INFO/MainProcess] Task memory_intensive[1776bf90-9f5d-4e44-80a3-17fe0c4e6cc5] received
[2026-04-26 09:57:49,505: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:57:49,530: INFO/MainProcess] Task cpu_intensive[774c9d2b-1a25-458a-bf41-ca194f80eea7] received
[2026-04-26 09:57:49,530: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:57:49,554: INFO/MainProcess] Task cpu_intensive[759e8396-9701-4571-9c1c-7b0da47640f4] received
