 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 22:47:40
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x73ee1f7cec90
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 22:47:40,816: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 22:47:40,820: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 22:47:41,841: INFO/MainProcess] mingle: all alone
[2026-04-26 22:47:41,861: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 22:47:41,861: INFO/MainProcess] Task cpu_intensive[54b1eb48-916e-4680-b28d-60aaef0e7b09] received
[2026-04-26 22:47:41,862: INFO/MainProcess] Task cpu_intensive[be6560e8-77a2-42ba-9930-ba98e225d861] received
[2026-04-26 22:47:41,862: INFO/MainProcess] Task memory_intensive[108f2fdd-8de4-44a0-87eb-3ec147ff6df4] received
[2026-04-26 22:47:41,862: INFO/MainProcess] Task cpu_intensive[91d01dd5-4104-4b69-8e37-5f4813e8bfd1] received
[2026-04-26 22:47:41,863: INFO/MainProcess] Task cpu_intensive[34b9c3c5-9c25-4295-8e64-d53c1f424fa6] received
[2026-04-26 22:47:41,863: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 22:47:41,886: INFO/MainProcess] Task memory_intensive[abf646a7-230f-4314-8718-60df53555a38] received
[2026-04-26 22:47:41,887: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 22:47:41,911: INFO/MainProcess] Task cpu_intensive[452bdccf-2904-4041-828b-592016c4795b] received
[2026-04-26 22:47:41,911: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 22:47:41,935: INFO/MainProcess] Task cpu_intensive[4e039585-c960-477e-8620-0a9f3b1624b7] received
