 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 06:03:10
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x773bbd13d790
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 06:03:10,581: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 06:03:10,584: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 06:03:11,602: INFO/MainProcess] mingle: all alone
[2026-04-26 06:03:11,622: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 06:03:11,622: INFO/MainProcess] Task cpu_intensive[a6725f2a-25d9-4ed9-ab08-50ae1d83d2ad] received
[2026-04-26 06:03:11,623: INFO/MainProcess] Task cpu_intensive[b3bff0ac-4d19-49a2-8372-615d2f6d6287] received
[2026-04-26 06:03:11,623: INFO/MainProcess] Task memory_intensive[e68f6bbf-41ed-4064-a3e9-ca98fb5bbcbd] received
[2026-04-26 06:03:11,623: INFO/MainProcess] Task cpu_intensive[724c50e8-9839-47b0-9d29-dca6c41c5340] received
[2026-04-26 06:03:11,624: INFO/MainProcess] Task cpu_intensive[33fa7191-a12c-4077-8be1-363b82979f20] received
[2026-04-26 06:03:11,624: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:03:11,647: INFO/MainProcess] Task memory_intensive[bae460b7-e63e-46f1-87f9-2c69fd71a72f] received
[2026-04-26 06:03:11,647: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:03:11,671: INFO/MainProcess] Task cpu_intensive[cf8f5a28-9f04-4a19-b63e-f58184f14904] received
[2026-04-26 06:03:11,671: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:03:11,695: INFO/MainProcess] Task cpu_intensive[0012adc9-76f3-4af7-bfbe-b4d68d6926e5] received
