 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 18:03:49
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x73cb715319d0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 18:03:49,339: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 18:03:49,343: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 18:03:50,359: INFO/MainProcess] mingle: all alone
[2026-04-26 18:03:50,374: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 18:03:50,375: INFO/MainProcess] Task cpu_intensive[dac915e2-a46c-4b47-8659-8ddb408c6ffe] received
[2026-04-26 18:03:50,376: INFO/MainProcess] Task cpu_intensive[2bb926da-af6f-4aff-9a75-01086b0b0587] received
[2026-04-26 18:03:50,376: INFO/MainProcess] Task memory_intensive[6db90e6a-f48f-45d6-a47c-3d4ae59b3518] received
[2026-04-26 18:03:50,376: INFO/MainProcess] Task cpu_intensive[ade58dab-db17-44de-88d9-bfa244909433] received
[2026-04-26 18:03:50,376: INFO/MainProcess] Task cpu_intensive[c9eca3f6-8ef5-4263-94a3-1a74c09d8046] received
[2026-04-26 18:03:50,376: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:03:50,400: INFO/MainProcess] Task memory_intensive[540f49b4-b468-4833-bfdb-0ef07d1ba61e] received
[2026-04-26 18:03:50,400: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:03:50,424: INFO/MainProcess] Task cpu_intensive[470a2ee8-b98b-4866-a775-8e5f6a61fbae] received
[2026-04-26 18:03:50,425: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:03:50,449: INFO/MainProcess] Task cpu_intensive[ca21e95d-257a-4a36-933d-1b39583996a1] received
