 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 22:25:49
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x75db97231df0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 22:25:49,206: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 22:25:49,209: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 22:25:50,227: INFO/MainProcess] mingle: all alone
[2026-04-26 22:25:50,244: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 22:25:50,245: INFO/MainProcess] Task cpu_intensive[811d19da-362d-40c7-8904-4d3fb5824e04] received
[2026-04-26 22:25:50,245: INFO/MainProcess] Task cpu_intensive[7cbe4a0c-5736-46c0-a6f1-dd65b63f0054] received
[2026-04-26 22:25:50,245: INFO/MainProcess] Task memory_intensive[e13c8bb2-af19-4c08-8fb1-b63925609cc2] received
[2026-04-26 22:25:50,246: INFO/MainProcess] Task cpu_intensive[0835fcd2-6018-43c5-b6b3-73ab3d0634e6] received
[2026-04-26 22:25:50,246: INFO/MainProcess] Task cpu_intensive[a5ebf47a-0c32-40d7-a7b7-be82e7496474] received
[2026-04-26 22:25:50,246: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 22:25:50,270: INFO/MainProcess] Task memory_intensive[8c54e2ba-a977-460d-9acb-ddebc4154a6b] received
[2026-04-26 22:25:50,270: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 22:25:50,294: INFO/MainProcess] Task cpu_intensive[4d8271b3-bd3c-4f97-b77a-f4bbaf9e5205] received
[2026-04-26 22:25:50,295: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 22:25:50,319: INFO/MainProcess] Task cpu_intensive[ac2ecb16-0edc-4466-90c5-74eec2f74ef7] received
