 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 11:19:40
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x72f732f31970
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 11:19:41,011: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 11:19:41,014: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 11:19:42,033: INFO/MainProcess] mingle: all alone
[2026-04-26 11:19:42,051: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 11:19:42,051: INFO/MainProcess] Task cpu_intensive[86bcaf79-789d-47f1-8348-be2e6a5e8deb] received
[2026-04-26 11:19:42,052: INFO/MainProcess] Task cpu_intensive[7ec3630e-4e31-4989-b0d7-cd36d4afbdaf] received
[2026-04-26 11:19:42,052: INFO/MainProcess] Task memory_intensive[e1af5097-9f12-4716-828a-9090eb87dac3] received
[2026-04-26 11:19:42,052: INFO/MainProcess] Task cpu_intensive[93980904-8d55-4063-8cdf-0dc1c22d6fef] received
[2026-04-26 11:19:42,053: INFO/MainProcess] Task cpu_intensive[53cb9757-8f7e-4dfc-9031-1439fde3a7de] received
[2026-04-26 11:19:42,053: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 11:19:42,076: INFO/MainProcess] Task memory_intensive[5692335d-3533-4cd2-b673-059012029eac] received
[2026-04-26 11:19:42,076: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 11:19:42,101: INFO/MainProcess] Task cpu_intensive[f4074ea7-aa57-4a8e-8b7d-e528357522c6] received
[2026-04-26 11:19:42,101: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 11:19:42,126: INFO/MainProcess] Task cpu_intensive[77113877-29e9-4983-bae6-17d4cd8b189d] received
