 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 20:20:17
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7a9711131970
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 20:20:17,194: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 20:20:17,197: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 20:20:18,216: INFO/MainProcess] mingle: all alone
[2026-04-26 20:20:18,234: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 20:20:18,235: INFO/MainProcess] Task cpu_intensive[9f33ca07-963d-4388-8523-69ded6c595aa] received
[2026-04-26 20:20:18,235: INFO/MainProcess] Task cpu_intensive[e1030abe-a452-4248-b44d-838d22c02c08] received
[2026-04-26 20:20:18,235: INFO/MainProcess] Task memory_intensive[5223cc4a-9cad-4675-bce4-3a0e77516fec] received
[2026-04-26 20:20:18,235: INFO/MainProcess] Task cpu_intensive[5ca007c9-7932-452c-ad8c-d677f2b50033] received
[2026-04-26 20:20:18,236: INFO/MainProcess] Task cpu_intensive[4dec6239-9606-4141-9e74-c48ba3edb880] received
[2026-04-26 20:20:18,236: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:20:18,259: INFO/MainProcess] Task memory_intensive[bde94a91-bd99-4ba8-ab57-a862d4d5b301] received
[2026-04-26 20:20:18,259: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:20:18,284: INFO/MainProcess] Task cpu_intensive[b857ae28-56dc-4899-982b-3b305a275693] received
[2026-04-26 20:20:18,284: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:20:18,308: INFO/MainProcess] Task cpu_intensive[c5107df4-7fca-4a9c-b5ed-f04554ab7d9f] received
