 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 11:14:14
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x77b79ba31cd0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 11:14:14,133: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 11:14:14,136: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 11:14:15,156: INFO/MainProcess] mingle: all alone
[2026-04-26 11:14:15,174: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 11:14:15,175: INFO/MainProcess] Task cpu_intensive[411f1eba-7cb5-4c08-bd29-5a75ab9d6ecf] received
[2026-04-26 11:14:15,176: INFO/MainProcess] Task cpu_intensive[a08486d2-6608-480b-9443-ae47f5132b06] received
[2026-04-26 11:14:15,176: INFO/MainProcess] Task memory_intensive[037c62c0-f407-439c-b7e1-4afc8078942d] received
[2026-04-26 11:14:15,176: INFO/MainProcess] Task cpu_intensive[36c7b71f-a717-42d2-b8f5-626e14a6f418] received
[2026-04-26 11:14:15,176: INFO/MainProcess] Task cpu_intensive[a9c16559-4fb5-47d6-b5cb-afff87c749d7] received
[2026-04-26 11:14:15,177: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 11:14:15,200: INFO/MainProcess] Task memory_intensive[64367885-e6ab-41e7-b497-410f219e70b4] received
[2026-04-26 11:14:15,200: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 11:14:15,224: INFO/MainProcess] Task cpu_intensive[3671a451-4af4-4780-a101-3019ad4f815d] received
[2026-04-26 11:14:15,225: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 11:14:15,249: INFO/MainProcess] Task cpu_intensive[e1fb0b26-c074-4e7e-adcc-0c779b65be42] received
