 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 10:41:27
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7fbae592db50
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 10:41:27,812: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 10:41:27,817: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 10:41:28,835: INFO/MainProcess] mingle: all alone
[2026-04-26 10:41:28,852: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 10:41:28,853: INFO/MainProcess] Task cpu_intensive[cc48f285-6123-4ce3-aef9-20eb38a26f43] received
[2026-04-26 10:41:28,853: INFO/MainProcess] Task cpu_intensive[608cd7a0-f0cf-4dfd-8f12-5625ace35fdf] received
[2026-04-26 10:41:28,854: INFO/MainProcess] Task memory_intensive[75330e54-3b89-4d57-9ae7-9db3ef06b507] received
[2026-04-26 10:41:28,854: INFO/MainProcess] Task cpu_intensive[5d25f9aa-a451-4477-8423-958faf2609e5] received
[2026-04-26 10:41:28,854: INFO/MainProcess] Task cpu_intensive[438a3dc8-acc9-4b9e-8dac-dac84734db26] received
[2026-04-26 10:41:28,854: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 10:41:28,877: INFO/MainProcess] Task memory_intensive[ab718453-2024-4ec4-b383-c836797ed8db] received
[2026-04-26 10:41:28,878: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 10:41:28,902: INFO/MainProcess] Task cpu_intensive[d44a3c6e-3071-44ec-8a86-10a8aecf72a4] received
[2026-04-26 10:41:28,902: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 10:41:28,926: INFO/MainProcess] Task cpu_intensive[b2d3857c-c33b-4631-9631-9f9ec6dea8be] received
