 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 16:58:11
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7e13f97158e0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 16:58:11,892: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 16:58:11,895: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 16:58:12,913: INFO/MainProcess] mingle: all alone
[2026-04-26 16:58:12,930: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 16:58:12,931: INFO/MainProcess] Task cpu_intensive[5eedc554-6caf-4fbc-bc67-0e5281c52f09] received
[2026-04-26 16:58:12,932: INFO/MainProcess] Task cpu_intensive[a3513b75-c5f7-4f36-9549-99cceb50cd1f] received
[2026-04-26 16:58:12,932: INFO/MainProcess] Task memory_intensive[0d486ab3-e8ce-47f8-954e-33f7c19037aa] received
[2026-04-26 16:58:12,932: INFO/MainProcess] Task cpu_intensive[92f19e04-8cc7-4c2f-b565-09a76484c74b] received
[2026-04-26 16:58:12,932: INFO/MainProcess] Task cpu_intensive[c729bd70-3320-4215-ab50-3408686f3647] received
[2026-04-26 16:58:12,933: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 16:58:12,956: INFO/MainProcess] Task memory_intensive[94fb3743-47e8-473a-9644-44e6e89c3083] received
[2026-04-26 16:58:12,957: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 16:58:12,981: INFO/MainProcess] Task cpu_intensive[ee9a5697-fdd5-4b06-b066-5827a88fc325] received
[2026-04-26 16:58:12,982: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 16:58:13,006: INFO/MainProcess] Task cpu_intensive[46ef6b2a-5a17-41a9-81e0-df3543942e7b] received
