 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 10:46:55
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x723a2c32da90
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 10:46:55,671: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 10:46:55,674: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 10:46:56,692: INFO/MainProcess] mingle: all alone
[2026-04-26 10:46:56,710: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 10:46:56,711: INFO/MainProcess] Task cpu_intensive[488e1268-5926-458f-910b-4622fc988877] received
[2026-04-26 10:46:56,711: INFO/MainProcess] Task cpu_intensive[71c0bd9b-db93-482e-bca1-37c760e67e41] received
[2026-04-26 10:46:56,711: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 10:46:58,425: INFO/ForkPoolWorker-1] Task cpu_intensive[488e1268-5926-458f-910b-4622fc988877] succeeded in 1.5881038029983756s: 333333283333335000000
[2026-04-26 10:46:58,425: INFO/ForkPoolWorker-2] Task cpu_intensive[71c0bd9b-db93-482e-bca1-37c760e67e41] succeeded in 1.5886442849950981s: 333333283333335000000
[2026-04-26 10:46:58,427: INFO/MainProcess] Task memory_intensive[1f861e59-8df2-4dee-b305-5ea6cf56708b] received
[2026-04-26 10:46:58,427: INFO/MainProcess] Task cpu_intensive[12123bb7-be15-408e-9bc7-6e06413ebceb] received
[2026-04-26 10:47:00,039: INFO/ForkPoolWorker-2] Task cpu_intensive[12123bb7-be15-408e-9bc7-6e06413ebceb] succeeded in 1.6112431849978748s: 333333283333335000000
[2026-04-26 10:47:00,041: INFO/MainProcess] Task cpu_intensive[35300022-aefc-4de3-ad73-236d22d5647b] received
