 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 20:53:00
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x768667f3d880
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 20:53:00,254: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 20:53:00,256: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 20:53:01,275: INFO/MainProcess] mingle: all alone
[2026-04-26 20:53:01,293: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 20:53:01,294: INFO/MainProcess] Task cpu_intensive[fd6e5a10-09d3-4816-8c74-72582451b782] received
[2026-04-26 20:53:01,294: INFO/MainProcess] Task cpu_intensive[a8a20df2-bf55-4bc1-9544-88e19b724290] received
[2026-04-26 20:53:01,294: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 20:53:03,038: INFO/ForkPoolWorker-1] Task cpu_intensive[fd6e5a10-09d3-4816-8c74-72582451b782] succeeded in 1.6180177520000143s: 333333283333335000000
[2026-04-26 20:53:03,040: INFO/MainProcess] Task memory_intensive[bc0fbb45-4263-4657-9b43-b55d7a5f8c75] received
[2026-04-26 20:53:03,071: INFO/ForkPoolWorker-2] Task cpu_intensive[a8a20df2-bf55-4bc1-9544-88e19b724290] succeeded in 1.6512767129897838s: 333333283333335000000
[2026-04-26 20:53:03,073: INFO/MainProcess] Task cpu_intensive[b4bcb0b8-1d6c-4198-9cdb-6c2e0f9fbbcb] received
[2026-04-26 20:53:04,678: INFO/ForkPoolWorker-2] Task cpu_intensive[b4bcb0b8-1d6c-4198-9cdb-6c2e0f9fbbcb] succeeded in 1.6044476039969595s: 333333283333335000000
