 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 01:51:50
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7ba502d31970
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 01:51:50,247: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 01:51:50,250: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 01:51:51,266: INFO/MainProcess] mingle: all alone
[2026-04-26 01:51:51,284: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 01:51:51,285: INFO/MainProcess] Task cpu_intensive[81eba5b8-f7fb-4de9-bfc2-7fe862d4183a] received
[2026-04-26 01:51:51,285: INFO/MainProcess] Task cpu_intensive[5a02da1d-abea-46a1-862c-24b84cbabb5f] received
[2026-04-26 01:51:51,285: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:51:53,017: INFO/ForkPoolWorker-2] Task cpu_intensive[5a02da1d-abea-46a1-862c-24b84cbabb5f] succeeded in 1.6068321870006912s: 333333283333335000000
[2026-04-26 01:51:53,019: INFO/ForkPoolWorker-1] Task cpu_intensive[81eba5b8-f7fb-4de9-bfc2-7fe862d4183a] succeeded in 1.6084777310006757s: 333333283333335000000
[2026-04-26 01:51:53,020: INFO/MainProcess] Task memory_intensive[b14dcaee-264f-4401-b42e-428d5b29638d] received
[2026-04-26 01:51:53,020: INFO/MainProcess] Task cpu_intensive[066d601a-f553-4c5f-b4b6-a93554be34fb] received
[2026-04-26 01:51:54,609: INFO/ForkPoolWorker-2] Task cpu_intensive[066d601a-f553-4c5f-b4b6-a93554be34fb] succeeded in 1.5884974259988667s: 333333283333335000000
[2026-04-26 01:51:54,611: INFO/MainProcess] Task cpu_intensive[f1e63232-ff3a-40e1-9bc5-a65343ba0cec] received
