 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 17:09:07
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7deaff9317c0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 17:09:07,716: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 17:09:07,719: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 17:09:08,746: INFO/MainProcess] mingle: all alone
[2026-04-26 17:09:08,763: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 17:09:08,764: INFO/MainProcess] Task cpu_intensive[287bd3cb-5ff4-4432-a84e-d32d6cbee944] received
[2026-04-26 17:09:08,765: INFO/MainProcess] Task cpu_intensive[8159ccdb-895d-4a45-a7cb-3e39cb2063f3] received
[2026-04-26 17:09:08,765: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 17:09:10,480: INFO/ForkPoolWorker-2] Task cpu_intensive[8159ccdb-895d-4a45-a7cb-3e39cb2063f3] succeeded in 1.5900335530022858s: 333333283333335000000
[2026-04-26 17:09:10,483: INFO/MainProcess] Task memory_intensive[27dbb396-0a40-42ee-89e7-7fbdf809b572] received
[2026-04-26 17:09:10,490: INFO/ForkPoolWorker-1] Task cpu_intensive[287bd3cb-5ff4-4432-a84e-d32d6cbee944] succeeded in 1.5997690579970367s: 333333283333335000000
[2026-04-26 17:09:10,491: INFO/MainProcess] Task cpu_intensive[405811f0-374e-4c04-bdc4-ae9c9fe5a434] received
[2026-04-26 17:09:12,075: INFO/ForkPoolWorker-1] Task cpu_intensive[405811f0-374e-4c04-bdc4-ae9c9fe5a434] succeeded in 1.5833804630019586s: 333333283333335000000
[2026-04-26 17:09:12,077: INFO/MainProcess] Task cpu_intensive[0b871248-b4a3-4042-831a-34ce9414349c] received
