 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 14:47:05
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7b5168c41d00
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 14:47:05,167: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 14:47:05,169: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 14:47:06,188: INFO/MainProcess] mingle: all alone
[2026-04-26 14:47:06,205: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 14:47:06,206: INFO/MainProcess] Task cpu_intensive[93a0275c-29eb-47e0-b842-d02142758610] received
[2026-04-26 14:47:06,207: INFO/MainProcess] Task cpu_intensive[a7db8008-d125-4ee2-989b-f3e8577aebcf] received
[2026-04-26 14:47:06,207: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 14:47:07,917: INFO/ForkPoolWorker-2] Task cpu_intensive[a7db8008-d125-4ee2-989b-f3e8577aebcf] succeeded in 1.585361893994559s: 333333283333335000000
[2026-04-26 14:47:07,918: INFO/ForkPoolWorker-1] Task cpu_intensive[93a0275c-29eb-47e0-b842-d02142758610] succeeded in 1.586407179995149s: 333333283333335000000
[2026-04-26 14:47:07,919: INFO/MainProcess] Task memory_intensive[f2a1d09f-3fc9-4875-859c-3699307a0914] received
[2026-04-26 14:47:07,920: INFO/MainProcess] Task cpu_intensive[d87081db-c7e5-4f15-af03-244586ef2354] received
[2026-04-26 14:47:09,528: INFO/ForkPoolWorker-2] Task cpu_intensive[d87081db-c7e5-4f15-af03-244586ef2354] succeeded in 1.6075945100019453s: 333333283333335000000
[2026-04-26 14:47:09,530: INFO/MainProcess] Task cpu_intensive[462cc873-2e20-4705-9b15-35f46cb6b7a8] received
