 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 12:47:00
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7bf1af819a30
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 12:47:00,619: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 12:47:00,630: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 12:47:01,659: INFO/MainProcess] mingle: all alone
[2026-04-26 12:47:01,681: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 12:47:01,682: INFO/MainProcess] Task cpu_intensive[eddb5007-0382-48c5-8ab6-c2619046046e] received
[2026-04-26 12:47:01,683: INFO/MainProcess] Task cpu_intensive[1940fd99-4f0d-4cb6-a39f-2c67aa3154ce] received
[2026-04-26 12:47:01,683: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 12:47:04,068: INFO/ForkPoolWorker-2] Task cpu_intensive[1940fd99-4f0d-4cb6-a39f-2c67aa3154ce] succeeded in 2.231777030006924s: 333333283333335000000
[2026-04-26 12:47:04,082: INFO/MainProcess] Task memory_intensive[e6071c9a-b94d-4112-b322-503bf0c19cd3] received
[2026-04-26 12:47:04,131: INFO/ForkPoolWorker-1] Task cpu_intensive[eddb5007-0382-48c5-8ab6-c2619046046e] succeeded in 2.297380363001139s: 333333283333335000000
[2026-04-26 12:47:04,134: INFO/MainProcess] Task cpu_intensive[ba630ec3-1178-4cf5-a3af-a650fc6dd87f] received
[2026-04-26 12:47:05,875: INFO/ForkPoolWorker-2] Task memory_intensive[e6071c9a-b94d-4112-b322-503bf0c19cd3] succeeded in 1.7918285070045386s: 'Memory wave: released'
[2026-04-26 12:47:05,877: INFO/MainProcess] Task cpu_intensive[dd9278f9-d957-42bc-b7d4-dd4d0524134a] received
