 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 01:19:03
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7a43b2a2d670
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 01:19:03,631: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 01:19:03,634: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 01:19:04,650: INFO/MainProcess] mingle: all alone
[2026-04-26 01:19:04,667: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 01:19:04,668: INFO/MainProcess] Task cpu_intensive[6d55e234-b78f-4e0d-989f-9a5b1ede2b72] received
[2026-04-26 01:19:04,668: INFO/MainProcess] Task cpu_intensive[39fe7c4b-ae6e-4491-a56d-304996f82fae] received
[2026-04-26 01:19:04,669: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:19:06,383: INFO/ForkPoolWorker-2] Task cpu_intensive[39fe7c4b-ae6e-4491-a56d-304996f82fae] succeeded in 1.5893993030003912s: 333333283333335000000
[2026-04-26 01:19:06,386: INFO/MainProcess] Task memory_intensive[9e5814d2-ad8e-4b49-9fc3-c66711f2c8e5] received
[2026-04-26 01:19:06,407: INFO/ForkPoolWorker-1] Task cpu_intensive[6d55e234-b78f-4e0d-989f-9a5b1ede2b72] succeeded in 1.6130142009997144s: 333333283333335000000
[2026-04-26 01:19:06,408: INFO/MainProcess] Task cpu_intensive[4eddfdec-a19d-4bd6-ae9b-36d62b892410] received
[2026-04-26 01:19:08,016: INFO/ForkPoolWorker-1] Task cpu_intensive[4eddfdec-a19d-4bd6-ae9b-36d62b892410] succeeded in 1.606841118000375s: 333333283333335000000
