 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 11:30:34
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7576eb522090
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 11:30:34,654: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 11:30:34,657: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 11:30:35,675: INFO/MainProcess] mingle: all alone
[2026-04-26 11:30:35,693: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 11:30:35,694: INFO/MainProcess] Task cpu_intensive[57093ed5-13bc-4e18-b4ec-0cfc854c9770] received
[2026-04-26 11:30:35,694: INFO/MainProcess] Task cpu_intensive[b796511e-45a8-41e6-bbfc-a447b9ca6510] received
[2026-04-26 11:30:35,694: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 11:30:37,410: INFO/ForkPoolWorker-2] Task cpu_intensive[b796511e-45a8-41e6-bbfc-a447b9ca6510] succeeded in 1.5901307300009648s: 333333283333335000000
[2026-04-26 11:30:37,411: INFO/ForkPoolWorker-1] Task cpu_intensive[57093ed5-13bc-4e18-b4ec-0cfc854c9770] succeeded in 1.5912777050034492s: 333333283333335000000
[2026-04-26 11:30:37,413: INFO/MainProcess] Task memory_intensive[73cdc43c-354a-4663-8552-e350244a5726] received
[2026-04-26 11:30:37,413: INFO/MainProcess] Task cpu_intensive[36fe5eb3-f1f5-475a-97b8-88710901e16a] received
[2026-04-26 11:30:39,022: INFO/ForkPoolWorker-2] Task cpu_intensive[36fe5eb3-f1f5-475a-97b8-88710901e16a] succeeded in 1.608528448996367s: 333333283333335000000
[2026-04-26 11:30:39,024: INFO/MainProcess] Task cpu_intensive[e13814fe-1c67-43ed-8f23-7f31bb545070] received
