 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 18:31:06
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7c741a02d7c0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 18:31:06,441: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 18:31:06,444: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 18:31:07,460: INFO/MainProcess] mingle: all alone
[2026-04-26 18:31:07,478: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 18:31:07,478: INFO/MainProcess] Task cpu_intensive[511f0880-b9db-4a5d-bac8-4bb3024ab433] received
[2026-04-26 18:31:07,479: INFO/MainProcess] Task cpu_intensive[cf7ec2ba-4866-4a87-8054-21f30ccfd7cd] received
[2026-04-26 18:31:07,479: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:31:09,190: INFO/ForkPoolWorker-2] Task cpu_intensive[cf7ec2ba-4866-4a87-8054-21f30ccfd7cd] succeeded in 1.5856302040047012s: 333333283333335000000
[2026-04-26 18:31:09,193: INFO/MainProcess] Task memory_intensive[b419bcb7-9c58-4b89-8f98-f543622abc69] received
[2026-04-26 18:31:09,209: INFO/ForkPoolWorker-1] Task cpu_intensive[511f0880-b9db-4a5d-bac8-4bb3024ab433] succeeded in 1.6046251939987997s: 333333283333335000000
[2026-04-26 18:31:09,211: INFO/MainProcess] Task cpu_intensive[cbebe680-65b4-43f3-83d6-15f0c94b2f91] received
[2026-04-26 18:31:10,792: INFO/ForkPoolWorker-1] Task cpu_intensive[cbebe680-65b4-43f3-83d6-15f0c94b2f91] succeeded in 1.5798275010020006s: 333333283333335000000
