 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 11:52:23
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7ad76f82d7c0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 11:52:23,106: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 11:52:23,111: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 11:52:24,128: INFO/MainProcess] mingle: all alone
[2026-04-26 11:52:24,146: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 11:52:24,147: INFO/MainProcess] Task cpu_intensive[7d4a00c6-3dd9-475e-bc01-769c06449111] received
[2026-04-26 11:52:24,147: INFO/MainProcess] Task cpu_intensive[e072c25e-027e-4f95-b0b8-1ddb9efb9681] received
[2026-04-26 11:52:24,147: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 11:52:25,880: INFO/ForkPoolWorker-2] Task cpu_intensive[e072c25e-027e-4f95-b0b8-1ddb9efb9681] succeeded in 1.6079778569983318s: 333333283333335000000
[2026-04-26 11:52:25,883: INFO/MainProcess] Task memory_intensive[f7ae9f84-26d6-40c7-a4d2-33a80e0cea1e] received
[2026-04-26 11:52:25,890: INFO/ForkPoolWorker-1] Task cpu_intensive[7d4a00c6-3dd9-475e-bc01-769c06449111] succeeded in 1.617623812002421s: 333333283333335000000
[2026-04-26 11:52:25,891: INFO/MainProcess] Task cpu_intensive[63c5edd1-fa2d-44e4-bf95-23da0038fa68] received
[2026-04-26 11:52:27,493: INFO/ForkPoolWorker-1] Task cpu_intensive[63c5edd1-fa2d-44e4-bf95-23da0038fa68] succeeded in 1.6015847970047616s: 333333283333335000000
[2026-04-26 11:52:27,495: INFO/MainProcess] Task cpu_intensive[914439be-5142-4f3b-9382-040df145091f] received
