 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 07:25:01
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x753e4d53da60
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 07:25:01,743: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 07:25:01,746: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 07:25:02,761: INFO/MainProcess] mingle: all alone
[2026-04-26 07:25:02,777: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 07:25:02,779: INFO/MainProcess] Task cpu_intensive[21d8d455-7ac4-4bf4-aff5-6b3b2df55a8d] received
[2026-04-26 07:25:02,779: INFO/MainProcess] Task cpu_intensive[cb64f8ce-4084-405a-a5fe-5429b8e4e9e3] received
[2026-04-26 07:25:02,779: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 07:25:04,496: INFO/ForkPoolWorker-2] Task cpu_intensive[cb64f8ce-4084-405a-a5fe-5429b8e4e9e3] succeeded in 1.5903571189992363s: 333333283333335000000
[2026-04-26 07:25:04,498: INFO/MainProcess] Task memory_intensive[81d8268b-409d-4f6b-b140-8c5ad832ab2d] received
[2026-04-26 07:25:04,503: INFO/ForkPoolWorker-1] Task cpu_intensive[21d8d455-7ac4-4bf4-aff5-6b3b2df55a8d] succeeded in 1.5982773239993548s: 333333283333335000000
[2026-04-26 07:25:04,505: INFO/MainProcess] Task cpu_intensive[ee09b0aa-8436-439d-bfe0-47de3cfd2c91] received
[2026-04-26 07:25:06,110: INFO/ForkPoolWorker-1] Task cpu_intensive[ee09b0aa-8436-439d-bfe0-47de3cfd2c91] succeeded in 1.6040088780027872s: 333333283333335000000
