 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 07:19:32
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7cdbe0f12090
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 07:19:32,717: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 07:19:32,722: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 07:19:33,737: INFO/MainProcess] mingle: all alone
[2026-04-26 07:19:33,753: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 07:19:33,754: INFO/MainProcess] Task cpu_intensive[a267a8f7-90cc-4404-a1c4-855b72fce378] received
[2026-04-26 07:19:33,754: INFO/MainProcess] Task cpu_intensive[363b4b5e-17b5-456c-975e-68e20d337682] received
[2026-04-26 07:19:33,754: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 07:19:35,489: INFO/ForkPoolWorker-2] Task cpu_intensive[363b4b5e-17b5-456c-975e-68e20d337682] succeeded in 1.609733615998266s: 333333283333335000000
[2026-04-26 07:19:35,492: INFO/MainProcess] Task memory_intensive[368f09a3-c1d9-48d3-84b5-0cf6f0028145] received
[2026-04-26 07:19:35,498: INFO/ForkPoolWorker-1] Task cpu_intensive[a267a8f7-90cc-4404-a1c4-855b72fce378] succeeded in 1.6182880039996235s: 333333283333335000000
[2026-04-26 07:19:35,499: INFO/MainProcess] Task cpu_intensive[77fd902c-31a3-480a-9dd9-83f9fd8ec334] received
[2026-04-26 07:19:37,108: INFO/ForkPoolWorker-1] Task cpu_intensive[77fd902c-31a3-480a-9dd9-83f9fd8ec334] succeeded in 1.6078200970005128s: 333333283333335000000
[2026-04-26 07:19:37,110: INFO/MainProcess] Task cpu_intensive[d0206a0d-92c9-47f2-bc42-763c761ca14c] received
