 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 02:35:34
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7fb488a2d640
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 02:35:34,269: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 02:35:34,271: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 02:35:35,299: INFO/MainProcess] mingle: all alone
[2026-04-26 02:35:35,318: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 02:35:35,319: INFO/MainProcess] Task cpu_intensive[c1b3a554-7c9b-46cf-993c-5346e8d18411] received
[2026-04-26 02:35:35,319: INFO/MainProcess] Task cpu_intensive[32e93209-bbd4-4f98-93a0-47843d60c16c] received
[2026-04-26 02:35:35,319: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 02:35:37,033: INFO/ForkPoolWorker-2] Task cpu_intensive[32e93209-bbd4-4f98-93a0-47843d60c16c] succeeded in 1.588149445999079s: 333333283333335000000
[2026-04-26 02:35:37,035: INFO/MainProcess] Task memory_intensive[dce52f55-33bd-4364-86be-5749526e69ae] received
[2026-04-26 02:35:37,044: INFO/ForkPoolWorker-1] Task cpu_intensive[c1b3a554-7c9b-46cf-993c-5346e8d18411] succeeded in 1.5998210210000252s: 333333283333335000000
[2026-04-26 02:35:37,046: INFO/MainProcess] Task cpu_intensive[4fd1a0e3-6410-4e3f-b77c-b38342d9d969] received
[2026-04-26 02:35:38,647: INFO/ForkPoolWorker-1] Task cpu_intensive[4fd1a0e3-6410-4e3f-b77c-b38342d9d969] succeeded in 1.6008279630004836s: 333333283333335000000
[2026-04-26 02:35:38,649: INFO/MainProcess] Task cpu_intensive[a8b0dce5-31af-4515-b689-65239ca26731] received
