 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 22:03:56
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x70bba6e2d9d0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 22:03:56,268: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 22:03:56,272: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 22:03:57,287: INFO/MainProcess] mingle: all alone
[2026-04-26 22:03:57,304: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 22:03:57,306: INFO/MainProcess] Task cpu_intensive[aa166c5b-01d6-46db-8438-427ef508b7e9] received
[2026-04-26 22:03:57,306: INFO/MainProcess] Task cpu_intensive[bda212e4-672c-4e7d-bbea-b17c70992921] received
[2026-04-26 22:03:57,306: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 22:03:59,022: INFO/ForkPoolWorker-1] Task cpu_intensive[aa166c5b-01d6-46db-8438-427ef508b7e9] succeeded in 1.5898037570004817s: 333333283333335000000
[2026-04-26 22:03:59,024: INFO/MainProcess] Task memory_intensive[e96c9a36-81a8-4d26-a2b2-e5f25a3c54bb] received
[2026-04-26 22:03:59,041: INFO/ForkPoolWorker-2] Task cpu_intensive[bda212e4-672c-4e7d-bbea-b17c70992921] succeeded in 1.6090052809886402s: 333333283333335000000
[2026-04-26 22:03:59,042: INFO/MainProcess] Task cpu_intensive[421a5b12-4092-4a26-9f09-f896305fb07a] received
[2026-04-26 22:04:00,648: INFO/ForkPoolWorker-2] Task cpu_intensive[421a5b12-4092-4a26-9f09-f896305fb07a] succeeded in 1.6056161040032748s: 333333283333335000000
[2026-04-26 22:04:00,650: INFO/MainProcess] Task cpu_intensive[97ec0b98-a52d-45e8-89ec-eafd35e127de] received
