 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 08:52:21
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x71ce47d3d7f0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 08:52:21,375: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 08:52:21,377: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 08:52:22,395: INFO/MainProcess] mingle: all alone
[2026-04-26 08:52:22,412: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 08:52:22,413: INFO/MainProcess] Task cpu_intensive[fd0a3ce9-2072-48e2-8bc0-10910c0d8ee7] received
[2026-04-26 08:52:22,413: INFO/MainProcess] Task cpu_intensive[10de75a4-716a-4f9f-84ee-9583f16c7593] received
[2026-04-26 08:52:22,413: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 08:52:24,123: INFO/ForkPoolWorker-2] Task cpu_intensive[10de75a4-716a-4f9f-84ee-9583f16c7593] succeeded in 1.5844971650003572s: 333333283333335000000
[2026-04-26 08:52:24,125: INFO/MainProcess] Task memory_intensive[99848af2-d7e3-42e3-ab55-f5b30ea41e84] received
[2026-04-26 08:52:24,140: INFO/ForkPoolWorker-1] Task cpu_intensive[fd0a3ce9-2072-48e2-8bc0-10910c0d8ee7] succeeded in 1.601692575000925s: 333333283333335000000
[2026-04-26 08:52:24,142: INFO/MainProcess] Task cpu_intensive[e918692b-6b38-4aa4-ab06-dce96a51073a] received
[2026-04-26 08:52:25,749: INFO/ForkPoolWorker-1] Task cpu_intensive[e918692b-6b38-4aa4-ab06-dce96a51073a] succeeded in 1.606702265002241s: 333333283333335000000
[2026-04-26 08:52:25,750: INFO/MainProcess] Task cpu_intensive[4c340c80-162a-4d79-ad7b-91f1913c8e2c] received
