 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 03:57:29
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x75e214731a90
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=1, max=2} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 03:57:29,677: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 03:57:29,680: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 03:57:30,698: INFO/MainProcess] mingle: all alone
[2026-04-26 03:57:30,715: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 03:57:30,716: INFO/MainProcess] Task cpu_intensive[fa6ae587-7bbd-4931-95ce-d8e797308265] received
[2026-04-26 03:57:30,717: INFO/MainProcess] Task cpu_intensive[8a4dc70e-914d-4ac9-b16b-ba01b5fc262a] received
[2026-04-26 03:57:30,717: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 03:57:32,438: INFO/ForkPoolWorker-2] Task cpu_intensive[8a4dc70e-914d-4ac9-b16b-ba01b5fc262a] succeeded in 1.5955533590004052s: 333333283333335000000
[2026-04-26 03:57:32,441: INFO/MainProcess] Task memory_intensive[61ea966d-a701-499c-9634-b77e23023794] received
[2026-04-26 03:57:32,464: INFO/ForkPoolWorker-1] Task cpu_intensive[fa6ae587-7bbd-4931-95ce-d8e797308265] succeeded in 1.6216230530008033s: 333333283333335000000
[2026-04-26 03:57:32,465: INFO/MainProcess] Task cpu_intensive[2ffc0051-ef2a-435c-aed3-212d6eb56fdc] received
[2026-04-26 03:57:34,074: INFO/ForkPoolWorker-1] Task cpu_intensive[2ffc0051-ef2a-435c-aed3-212d6eb56fdc] succeeded in 1.6084143699990818s: 333333283333335000000
[2026-04-26 03:57:34,076: INFO/MainProcess] Task cpu_intensive[24f8431b-cb6d-4e74-aabe-823701d35d30] received
