 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 16:03:30
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7225510418e0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 16:03:30,959: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 16:03:30,962: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 16:03:31,979: INFO/MainProcess] mingle: all alone
[2026-04-26 16:03:31,997: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 16:03:31,999: INFO/MainProcess] Task cpu_intensive[d8989d63-acf7-4cc7-a420-01b97f9590e2] received
[2026-04-26 16:03:31,999: INFO/MainProcess] Task cpu_intensive[56476797-5105-40f7-ab97-d40419ce4ea1] received
[2026-04-26 16:03:32,000: INFO/MainProcess] Task memory_intensive[879ffc2c-c127-4913-8305-4dd6a12d24c3] received
[2026-04-26 16:03:32,000: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 16:03:32,024: INFO/MainProcess] Task cpu_intensive[ad49637b-684e-4f0c-ae22-0eb36545cd4a] received
[2026-04-26 16:03:32,024: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 16:03:33,737: INFO/ForkPoolWorker-2] Task cpu_intensive[d8989d63-acf7-4cc7-a420-01b97f9590e2] succeeded in 1.5870799909971538s: 333333283333335000000
[2026-04-26 16:03:33,739: INFO/ForkPoolWorker-1] Task cpu_intensive[ad49637b-684e-4f0c-ae22-0eb36545cd4a] succeeded in 1.588569521001773s: 333333283333335000000
[2026-04-26 16:03:33,739: INFO/MainProcess] Task cpu_intensive[72f690e4-e79a-4c67-9624-53854138bcd8] received
[2026-04-26 16:03:33,740: INFO/MainProcess] Task memory_intensive[3dfc7d0c-5476-43d8-8e1f-761b0ca581bf] received
