 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 06:19:31
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x70aae0962d50
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 06:19:31,900: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 06:19:31,903: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 06:19:32,921: INFO/MainProcess] mingle: all alone
[2026-04-26 06:19:32,938: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 06:19:32,939: INFO/MainProcess] Task cpu_intensive[ec8738e5-e829-49d8-808d-50586d86882a] received
[2026-04-26 06:19:32,939: INFO/MainProcess] Task cpu_intensive[b9a849a1-e34c-4740-9f52-5b3d8df34e90] received
[2026-04-26 06:19:32,940: INFO/MainProcess] Task memory_intensive[43240d93-cab9-46ca-877e-fb8c8f922f66] received
[2026-04-26 06:19:32,940: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:19:32,963: INFO/MainProcess] Task cpu_intensive[ca3321b4-1859-473c-8b68-7bebc89025ce] received
[2026-04-26 06:19:32,963: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:19:34,675: INFO/ForkPoolWorker-3] Task cpu_intensive[b9a849a1-e34c-4740-9f52-5b3d8df34e90] succeeded in 1.5853411370007962s: 333333283333335000000
[2026-04-26 06:19:34,676: INFO/MainProcess] Task cpu_intensive[b17f6e20-13f1-450b-b639-89928f41141f] received
[2026-04-26 06:19:34,690: INFO/ForkPoolWorker-2] Task cpu_intensive[ec8738e5-e829-49d8-808d-50586d86882a] succeeded in 1.6008746740008064s: 333333283333335000000
[2026-04-26 06:19:34,692: INFO/MainProcess] Task memory_intensive[10f5df3d-ca62-4742-9ad0-cdd7fd4ca141] received
