 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 18:47:31
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x78b243641a00
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 18:47:31,689: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 18:47:31,692: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 18:47:32,710: INFO/MainProcess] mingle: all alone
[2026-04-26 18:47:32,728: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 18:47:32,729: INFO/MainProcess] Task cpu_intensive[46992bc9-036e-4a44-82d8-c591ae474227] received
[2026-04-26 18:47:32,729: INFO/MainProcess] Task cpu_intensive[19e70112-1e81-4e5f-b903-080dbeea1003] received
[2026-04-26 18:47:32,730: INFO/MainProcess] Task memory_intensive[c24e7fee-1606-4aba-98dd-59782e0ab633] received
[2026-04-26 18:47:32,730: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:47:32,753: INFO/MainProcess] Task cpu_intensive[36416a92-9c76-458d-afa7-8913ce81d1ab] received
[2026-04-26 18:47:32,753: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:47:34,471: INFO/ForkPoolWorker-3] Task cpu_intensive[19e70112-1e81-4e5f-b903-080dbeea1003] succeeded in 1.5920484919915907s: 333333283333335000000
[2026-04-26 18:47:34,473: INFO/MainProcess] Task cpu_intensive[50bf126b-add0-4013-8d0e-b1c4fa393f4d] received
[2026-04-26 18:47:34,489: INFO/ForkPoolWorker-2] Task cpu_intensive[46992bc9-036e-4a44-82d8-c591ae474227] succeeded in 1.6100150369893527s: 333333283333335000000
[2026-04-26 18:47:34,490: INFO/MainProcess] Task memory_intensive[92ae89c8-cf5d-4f64-80b8-8a7d874b7488] received
