 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 04:13:52
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x72784d531940
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 04:13:52,295: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 04:13:52,300: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 04:13:53,317: INFO/MainProcess] mingle: all alone
[2026-04-26 04:13:53,335: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 04:13:53,336: INFO/MainProcess] Task cpu_intensive[1bbd4fbf-8acf-4013-8efd-32d6c8667310] received
[2026-04-26 04:13:53,337: INFO/MainProcess] Task cpu_intensive[aed0101d-fbcd-4beb-bf3a-cfe6d5b97451] received
[2026-04-26 04:13:53,337: INFO/MainProcess] Task memory_intensive[4365dd59-1ff5-48f5-a5c0-483edd266a9f] received
[2026-04-26 04:13:53,337: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 04:13:53,361: INFO/MainProcess] Task cpu_intensive[ee01f99e-dc65-4f93-b543-71b43bf84c3e] received
[2026-04-26 04:13:53,362: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 04:13:55,095: INFO/ForkPoolWorker-3] Task cpu_intensive[aed0101d-fbcd-4beb-bf3a-cfe6d5b97451] succeeded in 1.6063837509973382s: 333333283333335000000
[2026-04-26 04:13:55,096: INFO/ForkPoolWorker-2] Task cpu_intensive[1bbd4fbf-8acf-4013-8efd-32d6c8667310] succeeded in 1.6073847549996572s: 333333283333335000000
[2026-04-26 04:13:55,096: INFO/MainProcess] Task cpu_intensive[cbea81c3-5452-4774-a847-349986e761f1] received
[2026-04-26 04:13:55,097: INFO/MainProcess] Task memory_intensive[db693493-ea94-4386-81ac-57c041fad40f] received
