 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 18:42:02
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7c892ca2da30
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 18:42:02,560: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 18:42:02,564: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 18:42:03,581: INFO/MainProcess] mingle: all alone
[2026-04-26 18:42:03,598: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 18:42:03,599: INFO/MainProcess] Task cpu_intensive[13a5a478-4ee6-416f-911e-6c355b9ff216] received
[2026-04-26 18:42:03,600: INFO/MainProcess] Task cpu_intensive[75a77c39-487b-4e6c-aa0c-1e243329187a] received
[2026-04-26 18:42:03,600: INFO/MainProcess] Task memory_intensive[f9833714-95d3-40ff-b20c-c57f1f74f65f] received
[2026-04-26 18:42:03,600: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:42:03,624: INFO/MainProcess] Task cpu_intensive[58de07f0-f601-4250-97c7-3a019e7d5094] received
[2026-04-26 18:42:03,624: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:42:05,357: INFO/ForkPoolWorker-1] Task cpu_intensive[58de07f0-f601-4250-97c7-3a019e7d5094] succeeded in 1.6035910089995014s: 333333283333335000000
[2026-04-26 18:42:05,358: INFO/MainProcess] Task cpu_intensive[eab9d627-2fa4-447a-95a0-984275db0f74] received
[2026-04-26 18:42:05,359: INFO/ForkPoolWorker-2] Task cpu_intensive[13a5a478-4ee6-416f-911e-6c355b9ff216] succeeded in 1.60869714099681s: 333333283333335000000
[2026-04-26 18:42:05,364: INFO/MainProcess] Task memory_intensive[77f1425d-0542-48f0-8f06-f90f4c09596e] received
