 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 01:29:59
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7eb04552d940
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 01:29:59,382: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 01:29:59,385: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 01:30:00,403: INFO/MainProcess] mingle: all alone
[2026-04-26 01:30:00,421: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 01:30:00,422: INFO/MainProcess] Task cpu_intensive[c0e9a7e3-8f0a-4cca-adde-c1d855bbeec9] received
[2026-04-26 01:30:00,422: INFO/MainProcess] Task cpu_intensive[1c5b8633-bf84-4b8a-911f-f4e91bc67522] received
[2026-04-26 01:30:00,422: INFO/MainProcess] Task memory_intensive[13fca26c-f534-43bb-b586-8098c9f91a63] received
[2026-04-26 01:30:00,423: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:30:00,446: INFO/MainProcess] Task cpu_intensive[50258cab-e181-44c8-a517-e2bc06246c9e] received
[2026-04-26 01:30:00,447: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:30:02,164: INFO/ForkPoolWorker-1] Task cpu_intensive[50258cab-e181-44c8-a517-e2bc06246c9e] succeeded in 1.5886425530006818s: 333333283333335000000
[2026-04-26 01:30:02,166: INFO/MainProcess] Task cpu_intensive[cf446343-7f53-4413-929a-2d95185286dc] received
[2026-04-26 01:30:02,167: INFO/ForkPoolWorker-3] Task cpu_intensive[1c5b8633-bf84-4b8a-911f-f4e91bc67522] succeeded in 1.5912934609996228s: 333333283333335000000
[2026-04-26 01:30:02,169: INFO/MainProcess] Task memory_intensive[ff1d774f-870d-4ed1-aa2e-801ebe5e5cc1] received
