 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 17:47:26
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7e880e319a90
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 17:47:26,579: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 17:47:26,582: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 17:47:27,599: INFO/MainProcess] mingle: all alone
[2026-04-26 17:47:27,616: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 17:47:27,617: INFO/MainProcess] Task cpu_intensive[907d7549-9be6-4c10-874b-5aaede82be8e] received
[2026-04-26 17:47:27,617: INFO/MainProcess] Task cpu_intensive[07c8c05e-d410-4e8c-931c-b8ff5ca3c4ef] received
[2026-04-26 17:47:27,617: INFO/MainProcess] Task memory_intensive[cbf52ef0-fe8b-4f38-9475-914a9691e802] received
[2026-04-26 17:47:27,617: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 17:47:27,641: INFO/MainProcess] Task cpu_intensive[daad5795-e83d-4451-a767-847b4000cbb8] received
[2026-04-26 17:47:27,641: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 17:47:29,356: INFO/ForkPoolWorker-3] Task cpu_intensive[07c8c05e-d410-4e8c-931c-b8ff5ca3c4ef] succeeded in 1.5887945410067914s: 333333283333335000000
[2026-04-26 17:47:29,357: INFO/ForkPoolWorker-1] Task cpu_intensive[daad5795-e83d-4451-a767-847b4000cbb8] succeeded in 1.5866798869974446s: 333333283333335000000
[2026-04-26 17:47:29,358: INFO/MainProcess] Task cpu_intensive[6b4ee448-99c8-475e-a8cf-b9de3704e87b] received
[2026-04-26 17:47:29,359: INFO/MainProcess] Task memory_intensive[c71393be-1540-4063-9d09-10614b8001c9] received
