 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 08:14:11
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x74752931ae10
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 08:14:11,284: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 08:14:11,286: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 08:14:12,303: INFO/MainProcess] mingle: all alone
[2026-04-26 08:14:12,320: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 08:14:12,321: INFO/MainProcess] Task cpu_intensive[1d1b5586-06cc-4fd0-84c5-28341cc7b3cf] received
[2026-04-26 08:14:12,321: INFO/MainProcess] Task cpu_intensive[2cf389ec-d4c0-469f-8e5f-04fd78780c80] received
[2026-04-26 08:14:12,322: INFO/MainProcess] Task memory_intensive[9d72b315-67ee-43f1-9cee-da61c38b58dd] received
[2026-04-26 08:14:12,322: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 08:14:12,345: INFO/MainProcess] Task cpu_intensive[818aaa68-7425-4849-a5e0-6e25163c8056] received
[2026-04-26 08:14:12,346: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 08:14:14,063: INFO/ForkPoolWorker-1] Task cpu_intensive[818aaa68-7425-4849-a5e0-6e25163c8056] succeeded in 1.5881035549973603s: 333333283333335000000
[2026-04-26 08:14:14,064: INFO/ForkPoolWorker-2] Task cpu_intensive[1d1b5586-06cc-4fd0-84c5-28341cc7b3cf] succeeded in 1.591964248000295s: 333333283333335000000
[2026-04-26 08:14:14,065: INFO/MainProcess] Task cpu_intensive[9a48110a-2cf4-489a-abdf-218fed4b5178] received
