 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 13:03:24
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7dc9dc63d9d0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 13:03:25,027: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 13:03:25,033: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 13:03:26,061: INFO/MainProcess] mingle: all alone
[2026-04-26 13:03:26,084: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 13:03:26,086: INFO/MainProcess] Task cpu_intensive[b5b02c9e-257b-4293-b393-19d90e214269] received
[2026-04-26 13:03:26,086: INFO/MainProcess] Task cpu_intensive[d6c915cb-61ea-4798-a590-39002a421bef] received
[2026-04-26 13:03:26,087: INFO/MainProcess] Task memory_intensive[82aed456-0417-40eb-9dd4-872f3fd84743] received
[2026-04-26 13:03:26,087: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 13:03:26,134: INFO/MainProcess] Task cpu_intensive[c0de1d8e-2cde-4650-8431-0d5b203919e8] received
[2026-04-26 13:03:26,136: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 13:03:28,145: INFO/ForkPoolWorker-4] Task memory_intensive[82aed456-0417-40eb-9dd4-872f3fd84743] succeeded in 1.8598049969950807s: 'Memory wave: released'
[2026-04-26 13:03:28,151: INFO/MainProcess] Task cpu_intensive[04eedab4-8fb8-41cc-9336-9957d4acd5de] received
[2026-04-26 13:03:28,686: INFO/ForkPoolWorker-2] Task cpu_intensive[b5b02c9e-257b-4293-b393-19d90e214269] succeeded in 2.401918416006083s: 333333283333335000000
[2026-04-26 13:03:28,690: INFO/MainProcess] Task memory_intensive[98818ad9-3a22-4fe0-92d4-a72d274e1f06] received
