 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 17:31:00
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7f1d06a2a030
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 17:31:00,399: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 17:31:00,403: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 17:31:01,419: INFO/MainProcess] mingle: all alone
[2026-04-26 17:31:01,436: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 17:31:01,437: INFO/MainProcess] Task cpu_intensive[bb6a0ae4-46b9-494a-b109-2e3a0d22c4fb] received
[2026-04-26 17:31:01,438: INFO/MainProcess] Task cpu_intensive[725fb94a-1fca-4039-a883-c2b646e92388] received
[2026-04-26 17:31:01,438: INFO/MainProcess] Task memory_intensive[f992765d-b6bc-47fe-8f0d-56b25c054106] received
[2026-04-26 17:31:01,438: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 17:31:01,462: INFO/MainProcess] Task cpu_intensive[843c0a9d-9b38-4a2d-8147-4bf26863b0e7] received
[2026-04-26 17:31:01,462: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 17:31:03,176: INFO/ForkPoolWorker-3] Task cpu_intensive[725fb94a-1fca-4039-a883-c2b646e92388] succeeded in 1.5867676279958687s: 333333283333335000000
[2026-04-26 17:31:03,176: INFO/ForkPoolWorker-1] Task cpu_intensive[843c0a9d-9b38-4a2d-8147-4bf26863b0e7] succeeded in 1.5841825929965125s: 333333283333335000000
[2026-04-26 17:31:03,177: INFO/MainProcess] Task cpu_intensive[a5e8894e-c156-4624-a408-59290168fd9c] received
