 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 17:41:57
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7a77ab131730
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 17:41:57,388: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 17:41:57,392: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 17:41:58,408: INFO/MainProcess] mingle: all alone
[2026-04-26 17:41:58,423: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 17:41:58,424: INFO/MainProcess] Task cpu_intensive[cbc99444-ce8f-4b37-8b9c-f2d96a1754c8] received
[2026-04-26 17:41:58,424: INFO/MainProcess] Task cpu_intensive[ae4d96d1-7df3-4ed8-bd70-7412c4ed076c] received
[2026-04-26 17:41:58,425: INFO/MainProcess] Task memory_intensive[526d7f4d-5959-4aa7-9c72-48c70378d892] received
[2026-04-26 17:41:58,425: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 17:41:58,449: INFO/MainProcess] Task cpu_intensive[bb4243b1-789b-4553-83e9-d555c05eb739] received
[2026-04-26 17:41:58,449: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 17:42:00,188: INFO/ForkPoolWorker-1] Task cpu_intensive[bb4243b1-789b-4553-83e9-d555c05eb739] succeeded in 1.6090730669966433s: 333333283333335000000
[2026-04-26 17:42:00,189: INFO/MainProcess] Task cpu_intensive[a005ffd1-6e89-4d3d-b728-c18764e2aed1] received
[2026-04-26 17:42:00,190: INFO/ForkPoolWorker-3] Task cpu_intensive[ae4d96d1-7df3-4ed8-bd70-7412c4ed076c] succeeded in 1.611085758995614s: 333333283333335000000
