 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 12:03:18
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7e7f0c53d880
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 12:03:18,853: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 12:03:18,856: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 12:03:19,875: INFO/MainProcess] mingle: all alone
[2026-04-26 12:03:19,892: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 12:03:19,893: INFO/MainProcess] Task cpu_intensive[3b81a58c-0bb6-4439-be3c-09af953d6cba] received
[2026-04-26 12:03:19,893: INFO/MainProcess] Task cpu_intensive[7d8d7d77-3ec9-49ea-800a-7ad446e9416c] received
[2026-04-26 12:03:19,894: INFO/MainProcess] Task memory_intensive[85758761-a98f-4a22-b8ad-fc4500e46b39] received
[2026-04-26 12:03:19,894: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 12:03:19,917: INFO/MainProcess] Task cpu_intensive[6bf3a567-54aa-41e2-9e9c-94b150e71ef4] received
[2026-04-26 12:03:19,917: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 12:03:21,629: INFO/ForkPoolWorker-1] Task cpu_intensive[6bf3a567-54aa-41e2-9e9c-94b150e71ef4] succeeded in 1.582868851000967s: 333333283333335000000
[2026-04-26 12:03:21,631: INFO/MainProcess] Task cpu_intensive[52187daa-121e-428b-950d-946577a3fde2] received
[2026-04-26 12:03:21,634: INFO/ForkPoolWorker-3] Task cpu_intensive[7d8d7d77-3ec9-49ea-800a-7ad446e9416c] succeeded in 1.590439570005401s: 333333283333335000000
