 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 15:47:06
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x72aeb5731b80
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 15:47:06,702: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 15:47:06,707: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 15:47:07,724: INFO/MainProcess] mingle: all alone
[2026-04-26 15:47:07,741: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 15:47:07,742: INFO/MainProcess] Task cpu_intensive[8083a465-80a0-47f0-9699-e5ecc80cec1a] received
[2026-04-26 15:47:07,742: INFO/MainProcess] Task cpu_intensive[16c39145-ba48-4f0a-af81-ec634ff27264] received
[2026-04-26 15:47:07,743: INFO/MainProcess] Task memory_intensive[b2527055-4b97-4bc4-b20d-507de1829b80] received
[2026-04-26 15:47:07,743: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 15:47:07,766: INFO/MainProcess] Task cpu_intensive[15cf6872-1f99-4a50-ab96-7160ab331016] received
[2026-04-26 15:47:07,766: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 15:47:09,499: INFO/ForkPoolWorker-3] Task cpu_intensive[16c39145-ba48-4f0a-af81-ec634ff27264] succeeded in 1.6054903240001295s: 333333283333335000000
[2026-04-26 15:47:09,500: INFO/ForkPoolWorker-2] Task cpu_intensive[8083a465-80a0-47f0-9699-e5ecc80cec1a] succeeded in 1.607074619998457s: 333333283333335000000
[2026-04-26 15:47:09,501: INFO/MainProcess] Task cpu_intensive[809a646f-88b8-4c44-84f5-a169f27397f2] received
[2026-04-26 15:47:09,502: INFO/MainProcess] Task memory_intensive[5adcd9af-cb98-4df7-bd6c-2bce9c121cf5] received
