 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 22:42:11
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7e245f13d850
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 22:42:11,544: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 22:42:11,548: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 22:42:12,566: INFO/MainProcess] mingle: all alone
[2026-04-26 22:42:12,582: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 22:42:12,583: INFO/MainProcess] Task cpu_intensive[1f1aa2c1-61ba-4139-ab8f-72f8295d732c] received
[2026-04-26 22:42:12,583: INFO/MainProcess] Task cpu_intensive[a23f40bb-8081-44cd-b5b2-a99cc1eaf85a] received
[2026-04-26 22:42:12,583: INFO/MainProcess] Task memory_intensive[53429756-3537-48bf-bd28-5785060bd245] received
[2026-04-26 22:42:12,584: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 22:42:12,607: INFO/MainProcess] Task cpu_intensive[f3ca331e-2947-4537-b742-d072c24c5e25] received
[2026-04-26 22:42:12,608: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 22:42:14,323: INFO/ForkPoolWorker-1] Task cpu_intensive[f3ca331e-2947-4537-b742-d072c24c5e25] succeeded in 1.5867505469941534s: 333333283333335000000
[2026-04-26 22:42:14,325: INFO/MainProcess] Task cpu_intensive[5f9797e7-8565-4728-8375-0ad38af43b2e] received
[2026-04-26 22:42:14,327: INFO/ForkPoolWorker-3] Task cpu_intensive[a23f40bb-8081-44cd-b5b2-a99cc1eaf85a] succeeded in 1.590874839006574s: 333333283333335000000
[2026-04-26 22:42:14,330: INFO/MainProcess] Task memory_intensive[97364cb0-d1fa-4b82-98e0-cfb51bcc2df4] received
