 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 01:40:55
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7cebd9f31940
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 01:40:55,338: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 01:40:55,341: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 01:40:56,359: INFO/MainProcess] mingle: all alone
[2026-04-26 01:40:56,376: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 01:40:56,377: INFO/MainProcess] Task cpu_intensive[2f67763a-b2ea-491c-af3f-155a44ef3b29] received
[2026-04-26 01:40:56,378: INFO/MainProcess] Task cpu_intensive[a1e190f9-4e78-4bd1-8b2b-730968096dba] received
[2026-04-26 01:40:56,378: INFO/MainProcess] Task memory_intensive[cc7ad8b3-f38a-42f8-9ca3-c1fc87830174] received
[2026-04-26 01:40:56,378: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:40:56,401: INFO/MainProcess] Task cpu_intensive[ba92d9e9-e795-4299-90ed-bcf7cde943d1] received
[2026-04-26 01:40:56,402: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:40:58,112: INFO/ForkPoolWorker-3] Task cpu_intensive[a1e190f9-4e78-4bd1-8b2b-730968096dba] succeeded in 1.5846178060000966s: 333333283333335000000
[2026-04-26 01:40:58,114: INFO/MainProcess] Task cpu_intensive[ceaeb4fa-9c71-4e4a-96bc-2710b8b1deae] received
[2026-04-26 01:40:58,117: INFO/ForkPoolWorker-1] Task cpu_intensive[ba92d9e9-e795-4299-90ed-bcf7cde943d1] succeeded in 1.5832428399999117s: 333333283333335000000
